critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.9599502086639404,0.038545094430446625,0.12196692079305649,-0.052039630711078644,1.200111746788025,50.59919738769531,50.46772384643555,0.13147398829460144,0.19848856329917908,0
1.056662917137146,-38.30997848510742,0.16553306579589844,-40.14260482788086,0.19734160602092743,38.71463394165039,0.35625123977661133,38.35838317871094,0.03213338553905487,10000
2.616860866546631,-38.09357452392578,0.30807146430015564,-56.106361389160156,0.1698000431060791,38.01197052001953,0.5517587065696716,37.46021270751953,0.029894065111875534,20000
1.5110859870910645,-30.792051315307617,0.6612159013748169,-46.33837890625,0.19142264127731323,30.841941833496094,0.7589301466941833,30.083011627197266,0.02884921059012413,30000
1.5912377834320068,-30.945186614990234,0.1383020430803299,-45.440895080566406,0.17774030566215515,30.859848022460938,0.3693840503692627,30.490463256835938,0.03454069048166275,40000
0.9203096628189087,-30.269275665283203,0.4038636088371277,-46.60269546508789,0.17612192034721375,30.125154495239258,0.5442050695419312,29.580949783325195,0.02805502340197563,50000
0.7728568315505981,-31.276798248291016,0.2771812379360199,-46.276634216308594,0.17612239718437195,31.31871223449707,0.5313898324966431,30.787322998046875,0.03262573108077049,60000
0.8804796934127808,-29.5938777923584,-0.019748911261558533,-49.31557083129883,0.15791191160678864,29.513383865356445,0.5710626244544983,28.94232177734375,0.042005494236946106,70000
0.7523894309997559,-29.130779266357422,0.07803049683570862,-47.36339569091797,0.22052031755447388,29.0426025390625,0.43116310238838196,28.611438751220703,0.029238376766443253,80000
0.6454933285713196,-30.736133575439453,-0.018078982830047607,-46.19908905029297,0.17722156643867493,30.519126892089844,0.4186496138572693,30.10047721862793,0.0382918044924736,90000
0.8272894024848938,-29.856056213378906,0.07543402910232544,-46.507015228271484,0.19804543256759644,29.73813247680664,0.5879070162773132,29.150224685668945,0.03266710788011551,100000
0.7426819801330566,-30.2417049407959,-0.05275703966617584,-49.22659683227539,0.17800475656986237,29.910253524780273,0.49563831090927124,29.414615631103516,0.027245210483670235,110000
0.7333059906959534,-29.99671173095703,0.04487656056880951,-48.60725402832031,0.18140028417110443,29.86712074279785,0.5553873181343079,29.31173324584961,0.035883575677871704,120000
0.8885688185691833,-29.60016632080078,0.16942527890205383,-46.55194854736328,0.2069748044013977,29.314945220947266,0.5429267883300781,28.772018432617188,0.031560543924570084,130000
