critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
1.9722464084625244,0.005994491279125214,0.14961576461791992,-0.15920165181159973,10.259828567504883,0.1814211905002594,13.267290115356445,-3.188882827758789,0.4422430098056793,5.660366058349609,0.9997000694274902,0
2.1338610649108887,-29.7009334564209,-0.8751776814460754,-40.25125503540039,31.432506561279297,28.604692459106445,1.9384112358093262,0.8894021511077881,0.0646137073636055,0.05137895792722702,0.3209313154220581,10000
0.6828917860984802,-24.24319076538086,0.35143595933914185,-39.388580322265625,25.88027572631836,23.465991973876953,1.6314221620559692,0.7828611135482788,0.054380737245082855,-0.022927014157176018,0.31941503286361694,20000
0.6711438298225403,-23.343589782714844,0.13310843706130981,-40.12520217895508,24.800941467285156,22.500837326049805,1.5018761157989502,0.7982268929481506,0.05006253346800804,-0.004840519744902849,0.31405943632125854,30000
0.9961867332458496,-23.213150024414062,0.18558190762996674,-41.7270393371582,24.811098098754883,22.41620635986328,1.5949132442474365,0.799978494644165,0.05316377431154251,-0.007252340670675039,0.3115643858909607,40000
0.6958515048027039,-23.22626495361328,0.0375041663646698,-42.64035415649414,24.61261558532715,22.339977264404297,1.4710233211517334,0.8016142249107361,0.04903411120176315,-0.0366036631166935,0.3085249662399292,50000
0.6336904764175415,-24.029199600219727,0.12945160269737244,-44.57333755493164,25.800745010375977,23.30279541015625,1.6968718767166138,0.8010768890380859,0.0565623976290226,-0.03861130028963089,0.3117981553077698,60000
0.5752208828926086,-22.695690155029297,0.09120030701160431,-44.660770416259766,24.466930389404297,21.95117950439453,1.7370861768722534,0.7786654233932495,0.05790287256240845,0.06777521967887878,0.3128153383731842,70000
0.6284977197647095,-22.823204040527344,0.0453568696975708,-46.52277755737305,24.505577087402344,22.103595733642578,1.6518735885620117,0.7501075863838196,0.05506245791912079,-0.058399688452482224,0.31041842699050903,80000
0.5641301870346069,-23.500896453857422,0.16242961585521698,-40.726165771484375,25.236698150634766,22.759929656982422,1.750962495803833,0.7258059978485107,0.058365415781736374,0.02483828365802765,0.3109029233455658,90000
0.5576394200325012,-22.79585838317871,0.1590331643819809,-42.47173309326172,24.50027847290039,22.047948837280273,1.7499761581420898,0.7023516893386841,0.05833253636956215,0.0669323056936264,0.30949321389198303,100000
0.5679588317871094,-23.36292266845703,0.020746082067489624,-45.88185501098633,24.93784523010254,22.4859619140625,1.6295466423034668,0.8223353028297424,0.054318223148584366,-0.04184115305542946,0.30941420793533325,110000
0.6560218334197998,-22.785987854003906,0.03229328989982605,-41.038673400878906,24.49062156677246,21.96055030822754,1.7234339714050293,0.8066368103027344,0.05744779855012894,-0.0378132238984108,0.31117966771125793,120000
0.6453959345817566,-22.400449752807617,0.035707756876945496,-41.56402587890625,23.969961166381836,21.576156616210938,1.6139568090438843,0.7798482179641724,0.05379856005311012,0.04514732584357262,0.3091409504413605,130000
0.49772951006889343,-22.914794921875,0.029434219002723694,-47.05659103393555,24.53278350830078,22.06842041015625,1.6540733575820923,0.8102884292602539,0.055135782808065414,0.0332755446434021,0.3114519715309143,140000
0.5765838623046875,-23.02760124206543,0.01036149263381958,-41.272727966308594,24.558475494384766,22.30169677734375,1.47102689743042,0.7857519388198853,0.049034230411052704,0.04317779466509819,0.3122349977493286,150000
0.5588532090187073,-22.728759765625,0.07857419550418854,-41.49637985229492,24.440914154052734,22.002559661865234,1.6900639533996582,0.7482911348342896,0.056335464119911194,0.05327342078089714,0.3138507306575775,160000
0.6376328468322754,-22.158489227294922,0.037884339690208435,-40.26156234741211,23.707216262817383,21.394805908203125,1.5566565990447998,0.7557542324066162,0.05188855156302452,0.011388632468879223,0.3122236728668213,170000
0.5921002626419067,-21.74247169494629,0.09927564859390259,-49.413169860839844,23.27172088623047,21.008258819580078,1.4529794454574585,0.8104824423789978,0.04843265190720558,-0.047294240444898605,0.3117368221282959,180000
0.6043787598609924,-23.295166015625,0.08741210401058197,-43.631099700927734,24.89887237548828,22.534393310546875,1.5954855680465698,0.7689934372901917,0.053182851523160934,0.035049159079790115,0.3114955723285675,190000
0.6002362370491028,-22.949785232543945,-0.00966973602771759,-41.88704299926758,24.564788818359375,22.199203491210938,1.5870898962020874,0.7784950137138367,0.05290299654006958,-0.03927941620349884,0.3120032548904419,200000
0.4764525294303894,-22.635223388671875,0.19361121952533722,-48.763912200927734,24.159523010253906,21.736530303955078,1.6657439470291138,0.7572469711303711,0.0555247962474823,0.05779498443007469,0.31379029154777527,210000
0.7209627032279968,-22.343883514404297,0.04762354493141174,-40.07170867919922,23.924209594726562,21.554990768432617,1.5587197542190552,0.8104999661445618,0.051957324147224426,-0.060705821961164474,0.31242483854293823,220000
0.49734050035476685,-22.720569610595703,0.00655345618724823,-52.01942443847656,24.501728057861328,21.976112365722656,1.7475119829177856,0.7781023979187012,0.05825040116906166,0.032057926058769226,0.31272047758102417,230000
0.4880271553993225,-21.783737182617188,-0.002773076295852661,-39.0911750793457,23.33164405822754,21.079721450805664,1.4965416193008423,0.7553797960281372,0.049884721636772156,0.036189526319503784,0.3133730888366699,240000
0.6829997301101685,-22.74875259399414,0.04052402079105377,-41.2274169921875,24.41208267211914,22.00330352783203,1.6850699186325073,0.7237098217010498,0.056168995797634125,-0.021469656378030777,0.3130224049091339,250000
0.6376079320907593,-22.136444091796875,0.029802143573760986,-41.298866271972656,23.8342342376709,21.464012145996094,1.6169627904891968,0.7532591819763184,0.053898755460977554,-0.027742603793740273,0.31274983286857605,260000
0.6104558706283569,-22.256702423095703,0.08168616890907288,-43.72866439819336,23.862091064453125,21.48006248474121,1.6361654996871948,0.7458639144897461,0.054538849741220474,0.03203819319605827,0.31286749243736267,270000
0.6359133124351501,-22.5650634765625,0.01997305452823639,-44.14411544799805,24.07559585571289,21.686620712280273,1.5752944946289062,0.8136816024780273,0.052509814500808716,0.007379260845482349,0.3130377233028412,280000
0.5599719285964966,-22.772768020629883,0.09343618154525757,-48.439029693603516,24.360401153564453,22.169710159301758,1.3640878200531006,0.8266029357910156,0.04546959698200226,-0.006536372005939484,0.3144153654575348,290000
0.6048099994659424,-21.909257888793945,0.003507450222969055,-39.83159255981445,23.41045379638672,21.137603759765625,1.4668906927108765,0.8059592247009277,0.04889635741710663,0.013614460825920105,0.31550338864326477,300000
0.6926537156105042,-22.671205520629883,0.000714614987373352,-42.37677764892578,24.351900100708008,21.976531982421875,1.539914608001709,0.8354523777961731,0.051330484449863434,-0.05461321398615837,0.314980149269104,310000
0.7049046754837036,-22.974769592285156,0.06896969676017761,-50.57733154296875,24.524545669555664,22.216087341308594,1.6087654829025269,0.6996934413909912,0.05362551659345627,-0.004094449803233147,0.31252172589302063,320000
0.6623823642730713,-22.275516510009766,0.06060449779033661,-42.5206184387207,23.963401794433594,21.613197326660156,1.5851707458496094,0.7650328874588013,0.05283902585506439,0.02533433772623539,0.31469234824180603,330000
0.564132809638977,-22.748550415039062,0.2018345594406128,-42.30110168457031,24.235219955444336,22.019882202148438,1.425826072692871,0.7895106077194214,0.04752753674983978,-0.018401475623250008,0.3142566382884979,340000
0.5299329161643982,-23.503524780273438,0.0023777782917022705,-45.80615234375,25.04063606262207,22.705692291259766,1.5154601335525513,0.8194822072982788,0.05051533877849579,-0.03865004703402519,0.3138137757778168,350000
0.7067854404449463,-22.118581771850586,0.060751304030418396,-42.46453094482422,23.724430084228516,21.33966064453125,1.6276435852050781,0.7571255564689636,0.05425478518009186,0.02133866399526596,0.31534847617149353,360000
0.6193546056747437,-23.10154914855957,0.037589505314826965,-48.53560256958008,24.758085250854492,22.40976333618164,1.557187795639038,0.7911331057548523,0.05190626159310341,-0.013610548339784145,0.31733375787734985,370000
0.5565223693847656,-23.56961441040039,-0.009712278842926025,-56.29337692260742,25.18886947631836,22.912551879882812,1.540123462677002,0.7361944913864136,0.051337454468011856,-0.011115528643131256,0.31230995059013367,380000
0.5099750757217407,-22.655628204345703,0.042300209403038025,-41.32788848876953,24.32567024230957,21.992321014404297,1.535933256149292,0.7974164485931396,0.05119777470827103,0.023049984127283096,0.31764090061187744,390000
0.5594074726104736,-23.780838012695312,-0.012338206171989441,-53.254661560058594,25.30577850341797,23.04373550415039,1.4662201404571533,0.7958223819732666,0.04887400567531586,-0.0029899475630372763,0.3148517608642578,400000
0.5701454877853394,-22.68020248413086,0.027634620666503906,-52.62242126464844,24.39400291442871,21.889249801635742,1.660098671913147,0.8446537256240845,0.05533662065863609,-0.030290018767118454,0.31553617119789124,410000
0.5971295237541199,-23.349685668945312,0.06775492429733276,-49.799232482910156,24.93187713623047,22.559457778930664,1.5507619380950928,0.8216564655303955,0.051692068576812744,0.029525265097618103,0.3143867552280426,420000
0.49596884846687317,-22.582447052001953,0.03488034009933472,-50.401248931884766,24.100345611572266,21.827617645263672,1.4713972806930542,0.8013297319412231,0.049046579748392105,-0.05822105333209038,0.31433892250061035,430000
0.637444257736206,-22.180683135986328,0.01393038034439087,-50.917755126953125,23.873695373535156,21.42628288269043,1.6014726161956787,0.8459394574165344,0.05338241904973984,0.013047952204942703,0.3182392418384552,440000
