value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.005347386933863163,0.10817220062017441,0.20302358269691467,-0.026170313358306885,1.9629560708999634,-0.0700768232345581,0.08217086642980576,-0.16376394033432007,2.647350311279297,0.2008500099182129,0
0.2338188886642456,-28.313037872314453,-1.383204460144043,-37.088436126708984,1.8147140741348267,-29.077957153320312,-0.933501660823822,-37.695899963378906,16.39567756652832,0.035834114998579025,10000
0.2217794954776764,-29.44434356689453,2.0547823905944824,-46.408180236816406,1.4829206466674805,-30.04835319519043,1.2544537782669067,-46.32269287109375,9.204818725585938,0.027238434180617332,20000
0.273981511592865,-31.296066284179688,-0.21367692947387695,-46.68802261352539,1.6884243488311768,-31.550395965576172,-0.254216730594635,-47.5099983215332,13.703531265258789,0.022095659747719765,30000
0.3509235382080078,-30.072254180908203,1.4745008945465088,-46.62092971801758,1.9864521026611328,-30.77704620361328,0.41682255268096924,-46.93269729614258,14.792118072509766,0.024391649290919304,40000
0.7070776224136353,-31.15888214111328,0.12174233049154282,-47.219818115234375,1.9187636375427246,-31.752811431884766,0.43113553524017334,-47.99608612060547,16.00704574584961,0.023924874141812325,50000
0.3449973464012146,-32.52522659301758,0.2634803056716919,-47.463497161865234,1.329663872718811,-32.75578308105469,0.2296280562877655,-47.50569534301758,15.157105445861816,0.028532594442367554,60000
0.5046533346176147,-31.443496704101562,0.6295233964920044,-47.457881927490234,2.215756893157959,-31.830703735351562,0.3183550238609314,-47.95242691040039,21.392345428466797,0.03123369812965393,70000
0.30274489521980286,-31.416128158569336,0.5177555084228516,-47.92265701293945,1.2815396785736084,-32.07430648803711,0.3332199454307556,-47.90400314331055,4.554789066314697,0.03593877702951431,80000
0.6607041954994202,-32.8432502746582,0.17527250945568085,-47.958740234375,1.08114755153656,-33.76697540283203,0.2629041373729706,-48.589996337890625,12.669249534606934,0.03220824897289276,90000
0.5415604710578918,-32.3955078125,0.7135325074195862,-48.299442291259766,1.4132816791534424,-33.17887496948242,0.2470555305480957,-48.518375396728516,11.59438419342041,0.032877739518880844,100000
0.8272497653961182,-32.66460418701172,0.5242863893508911,-47.58935546875,1.6403254270553589,-33.37541961669922,0.4271458387374878,-47.84652328491211,10.63309097290039,0.03276275470852852,110000
0.5606796145439148,-32.828514099121094,0.3547762930393219,-48.13129806518555,1.3378299474716187,-33.625370025634766,0.07463894784450531,-47.9647216796875,8.812771797180176,0.03296380490064621,120000
0.5720827579498291,-33.572608947753906,-0.01128707081079483,-48.568443298339844,0.7447513937950134,-34.130409240722656,0.1783948391675949,-48.8601188659668,12.698308944702148,0.029476171359419823,130000
0.6822428107261658,-32.50758361816406,0.30368471145629883,-47.939605712890625,0.6899979114532471,-33.48296356201172,0.14739711582660675,-48.72225570678711,7.474485397338867,0.030983930453658104,140000
0.6645755171775818,-33.396995544433594,0.2945936322212219,-48.27021789550781,1.8924481868743896,-34.25856018066406,-0.009012088179588318,-48.642669677734375,11.478248596191406,0.027071133255958557,150000
0.5131521821022034,-33.3492317199707,0.6184773445129395,-48.5667724609375,1.7121294736862183,-33.959075927734375,0.08326226472854614,-48.71670150756836,11.500494003295898,0.029789257794618607,160000
0.5962066054344177,-31.605701446533203,0.2589312791824341,-48.100486755371094,1.727751612663269,-32.10414123535156,0.21190783381462097,-48.40793991088867,18.93572998046875,0.024759268388152122,170000
0.6586606502532959,-31.71665382385254,0.36925700306892395,-47.98066329956055,1.349242925643921,-32.43373489379883,0.46581435203552246,-48.04151916503906,8.920047760009766,0.02403423562645912,180000
0.5819759964942932,-34.00454330444336,0.5570159554481506,-48.47522735595703,0.9085871577262878,-34.6411018371582,0.19406172633171082,-48.80866241455078,12.954444885253906,0.029345666989684105,190000
1.3751533031463623,-33.33964157104492,0.328989714384079,-48.59809112548828,2.4169483184814453,-34.28375244140625,-0.021955832839012146,-49.09879684448242,4.660367965698242,0.027123844251036644,200000
0.7499760985374451,-33.38471221923828,0.21822062134742737,-48.30769729614258,2.357241153717041,-34.233642578125,0.25809645652770996,-48.88998031616211,10.90148639678955,0.023948676884174347,210000
0.8198663592338562,-33.3687629699707,-0.09822588413953781,-48.21944046020508,2.409726619720459,-34.47792434692383,-0.1063167005777359,-48.65215301513672,4.5660271644592285,0.024929795414209366,220000
0.5456423163414001,-33.66569519042969,0.24722711741924286,-48.16185760498047,2.6357789039611816,-34.284725189208984,0.16268016397953033,-48.56050491333008,17.64181900024414,0.03133039548993111,230000
0.5748910903930664,-32.882423400878906,0.5179206132888794,-48.915096282958984,0.9849182367324829,-33.80717468261719,0.16112327575683594,-49.205142974853516,6.847439765930176,0.033112701028585434,240000
0.40836015343666077,-33.87019729614258,0.328312486410141,-49.04282760620117,1.28590989112854,-34.432472229003906,0.06694795191287994,-49.036598205566406,10.046810150146484,0.02445118874311447,250000
0.37945324182510376,-32.99916076660156,0.1711711585521698,-48.3441047668457,0.9358721375465393,-33.48145294189453,0.15264961123466492,-49.2152099609375,11.240976333618164,0.026253467425704002,260000
0.3594000041484833,-33.80403137207031,0.32322776317596436,-48.60800552368164,0.6994718313217163,-34.291751861572266,0.29527682065963745,-49.087528228759766,9.59993839263916,0.029956987127661705,270000
0.46969783306121826,-34.08844757080078,0.22445794939994812,-49.15256118774414,1.818230390548706,-34.95560836791992,0.14171402156352997,-49.4290885925293,6.797426700592041,0.03292560577392578,280000
